ID,Symbol,Time,Price,Volume
203,FB,17:57:08.572494,147.29,6104138
204,AAPL,17:57:08.572494,143.7,6877803
205,IBM,17:57:08.572494,160.21,1711691
206,MSFT,17:57:08.572494,67.775,737308
207,TWTR,17:57:08.572494,16.4416,11161318
208,HPQ,17:57:08.572494,18.63,15
209,GOOGL,17:57:08.572494,890.275,375289
210,AMZN,17:57:08.572494,919.1,1429858
211,YHOO,17:58:10.453893,48.25,5215728
212,INTC,17:58:10.453893,36.995,4870516
213,FB,17:58:10.453893,147.34,6444165
214,AAPL,17:58:10.453893,143.77,7035709
215,IBM,17:58:10.453893,160.1,1889709
216,MSFT,17:58:10.453893,67.775,737308
217,TWTR,17:58:10.453893,16.49,25847151
218,HPQ,17:58:10.453893,18.755,3388119
219,GOOGL,17:58:10.453893,888.9551,805557
220,AMZN,17:58:10.453893,919.1,1429858
221,YHOO,17:59:12.168438,48.2,5568096
222,INTC,17:59:12.168438,37.1,9555076
223,FB,17:59:12.168438,147.26,163107
224,AAPL,17:59:12.168438,143.77,7035709
225,IBM,17:59:12.168438,159.94,1467206
226,MSFT,17:59:12.168438,67.86,4625382
227,TWTR,17:59:12.168438,16.49,25847151
228,HPQ,17:59:12.168438,18.78,4602102
229,GOOGL,17:59:12.168438,890.275,375289
230,AMZN,17:59:12.168438,919.3,1440069
231,YHOO,18:00:13.725857,48.25,5215728
232,INTC,18:00:13.725857,37.1,9555076
233,FB,18:00:13.725857,147.0255,4437023
234,AAPL,18:00:13.725857,143.48,4945691
235,IBM,18:00:13.725857,159.94,1467206
236,MSFT,18:00:13.725857,67.665,5234474
237,TWTR,18:00:13.725857,16.555,28103988
238,HPQ,18:00:13.725857,18.78,4602102
239,GOOGL,18:00:13.725857,889.73,557002
240,AMZN,18:00:13.725857,920.6,67782
241,YHOO,18:01:15.503268,48.36,4566003
242,INTC,18:01:15.503268,36.995,4870516
243,FB,18:01:15.503268,147.0255,4437023
244,AAPL,18:01:15.503268,143.77,7035709
245,IBM,18:01:15.503268,160.21,1711691
246,MSFT,18:01:15.503268,67.86,4625382
247,TWTR,18:01:15.503268,16.49,25847151
248,HPQ,18:01:15.503268,18.805,2021683
249,GOOGL,18:01:15.503268,889.78,686440
250,AMZN,18:01:15.503268,919.3,1440069
251,YHOO,18:02:17.157649,48.2,5568096
252,INTC,18:02:17.157649,37.105,11201781
253,FB,18:02:17.157649,147.0255,4437023
254,AAPL,18:02:17.157649,143.7,6877803
255,IBM,18:02:17.157649,159.94,1467206
256,MSFT,18:02:17.157649,67.86,4625382
257,TWTR,18:02:17.157649,16.49,25847151
258,HPQ,18:02:17.157649,18.74,468998
259,GOOGL,18:02:17.157649,889.78,686440
260,AMZN,18:02:17.157649,919.3,1440069
261,YHOO,18:03:18.717134,48.2,5568096
262,INTC,18:03:18.717134,37.105,11201781
263,FB,18:03:18.717134,147.34,6444165
264,AAPL,18:03:18.717134,143.77,7035709
265,IBM,18:03:18.717134,159.94,1467206
266,MSFT,18:03:18.717134,67.775,737308
267,TWTR,18:03:18.717134,16.555,28103988
268,HPQ,18:03:18.717134,18.755,3388119
269,GOOGL,18:03:18.717134,889.73,557002
270,AMZN,18:03:18.717134,919.3,1440069
271,YHOO,18:04:20.662878,48.4201,3777685
272,INTC,18:04:20.662878,37.1,9555076
273,FB,18:04:20.662878,147.29,6104138
274,AAPL,18:04:20.662878,143.77,7035709
275,IBM,18:04:20.662878,160.21,1711691
276,MSFT,18:04:20.662878,67.86,4625382
277,TWTR,18:04:20.662878,16.335,16765632
278,HPQ,18:04:20.662878,18.74,468998
279,GOOGL,18:04:20.662878,888.9551,805557
280,AMZN,18:04:20.662878,920.1925,61945
281,YHOO,18:05:22.195494,48.26,4053137
282,INTC,18:05:22.195494,37.09,13675673
283,FB,18:05:22.195494,147.34,6444165
284,AAPL,18:05:22.195494,143.77,7035709
285,IBM,18:05:22.195494,160.21,1711691
286,MSFT,18:05:22.195494,67.775,737308
287,TWTR,18:05:22.195494,15.82,79309104
288,HPQ,18:05:22.195494,18.755,3388119
289,GOOGL,18:05:22.195494,889.14,1323297
290,AMZN,18:05:22.195494,909.29,2608948
291,YHOO,18:06:23.892276,48.2,5568096
292,INTC,18:06:23.892276,37.09,13675673
293,FB,18:06:23.892276,147.29,6104138
294,AAPL,18:06:23.892276,143.77,7035709
295,IBM,18:06:23.892276,159.92,1500000
296,MSFT,18:06:23.892276,67.955,7485818
297,TWTR,18:06:23.892276,16.5,28705079
298,HPQ,18:06:23.892276,18.805,2021683
299,GOOGL,18:06:23.892276,889.73,557002
300,AMZN,18:06:23.892276,919.1,1429858
301,YHOO,18:07:25.559750,48.36,4566003
302,INTC,18:07:25.559750,37.105,11201781
303,FB,18:07:25.559750,147.0255,4437023
304,AAPL,18:07:25.559750,143.55,4997818
305,IBM,18:07:25.559750,159.92,1500000
306,MSFT,18:07:25.559750,67.775,737308
307,TWTR,18:07:25.559750,16.5,28705079
308,HPQ,18:07:25.559750,18.805,2021683
309,GOOGL,18:07:25.559750,888.9551,805557
310,AMZN,18:07:25.559750,920.1925,61945
311,YHOO,18:08:27.177824,48.25,5215728
312,INTC,18:08:27.177824,37.105,11201781
313,FB,18:08:27.177824,147.0255,4437023
314,AAPL,18:08:27.177824,143.55,4997818
